customer_id,customer_name,email,region,signup_date
1,Allison Hill,donaldgarcia@example.net,North,2024-05-28
2,Angie Henderson,davisjesse@example.net,South,2024-08-04
3,Cristian Santos,lrobinson@example.com,West,2024-05-15
4,Abigail Shaffer,jpeterson@example.org,North,2024-07-29
5,Gabrielle Davis,howardmaurice@example.com,South,2024-11-01
6,Monica Herrera,smiller@example.net,North,2024-08-21
7,Shannon Ray,williamsjeremy@example.com,West,2024-06-21
8,Dr. Sharon James,xreid@example.org,South,2024-06-19
9,Daniel Adams,lynchgeorge@example.net,North,2024-09-20
10,Joel Nelson,gabriellecameron@example.org,East,2024-09-24
11,Andrew Stewart,carl95@example.org,North,2024-11-22
12,Jennifer Rocha,ithomas@example.org,North,2024-10-11
13,Kimberly Burgess,zhurst@example.com,South,2024-10-03
14,Zachary Hicks,camposmichelle@example.org,South,2024-04-24
15,Rebecca Henderson,cruzcaitlin@example.com,South,2024-05-11
16,Tricia Valencia,frazierdanny@example.net,East,2024-10-12
17,Patricia Peterson,ryan70@example.net,South,2024-10-04
18,Deborah Mason,williamrodriguez@example.net,East,2024-07-17
19,Mark Lynch,nathanielmartin@example.net,South,2024-05-07
20,Linda Burns,hickmannatasha@example.com,South,2024-08-04
21,David Bradley,millertodd@example.org,South,2024-08-17
22,Kim Martinez,karroyo@example.com,South,2024-04-29
23,Lisa Brandt,jenniferross@example.net,West,2024-09-09
24,Jessica Holmes,wrightcaleb@example.org,East,2024-07-18
25,Crystal Robinson,zimmermanbrian@example.org,West,2024-12-12
26,Shannon Jones,joshuawashington@example.net,South,2024-11-21
27,Timothy Duncan,esanchez@example.com,East,2024-08-05
28,Brent Jordan,ujenkins@example.org,West,2024-11-06
29,Victoria Garcia,zchandler@example.org,West,2024-06-10
30,Connor West,dwhite@example.org,South,2024-05-27
31,Angela Morton,williamsyvette@example.org,North,2024-11-03
32,Tammy Allison,richardolson@example.com,East,2024-11-26
33,Carmen Smith,ybaker@example.com,North,2024-04-06
34,Michael Cross,smoore@example.org,East,2024-08-15
35,Lauren Daniels,brian97@example.net,North,2024-11-19
36,Kim Brown,yorkcasey@example.org,South,2024-08-13
37,Cynthia Wilson,bethwilliams@example.org,East,2024-05-25
38,Kevin Mills,james53@example.com,South,2024-12-16
39,Michael Evans,sarah10@example.com,North,2024-06-22
40,Kristine Garcia,williamanderson@example.com,North,2024-12-07
41,Sherry Wood,samueldaniels@example.com,South,2024-09-05
42,Victoria Valdez,contrerasangela@example.net,West,2024-05-14
43,Shawn Baker,newtoneric@example.com,South,2024-12-29
44,Michelle Harris,william40@example.org,East,2024-06-24
45,Sandra Williams,kellie42@example.net,South,2024-11-03
46,Michael Hoffman,jonesnicole@example.org,East,2024-07-12
47,Sandra Aguilar,russellwilliams@example.com,West,2024-10-09
48,Rebecca Valencia,jason31@example.com,North,2024-11-18
49,Stacey Russell,sarayoung@example.org,East,2024-05-03
50,Rita Keith,whitesandra@example.com,North,2024-07-22
51,Sharon Cochran,erik16@example.org,North,2024-07-27
52,Courtney Velasquez,ybailey@example.org,North,2024-09-17
53,Matthew Ross,michelle45@example.net,West,2024-08-21
54,Meghan Anthony,sheila14@example.org,West,2024-06-07
55,Victoria Johnson,yreed@example.com,West,2024-11-29
56,William Wilson,jonathanfletcher@example.org,West,2024-05-20
